Time,Hours,Treatment,iNOS,TNFa,Cur1,Cur2,Cur3
0min,0.00,Control,1,1.000,,,
10min,0.17,Control,3.482,2.388,,,
20min,0.33,Control,2.465,0.590,,,
30min,0.50,Control,8.699,4.422,,,
1H,1.00,Control,7.988,,,,
2H,2.00,Control,6.036,0.301,,,
3H,3.00,Control,11.600,0.455,,,
4H,4.00,Control,7.081,0.738,,,
6H,6.00,Control,2.300,0.728,,,
8H,8.00,Control,2.395,0.455,,,
12H,12.00,Control,0.885,0.714,,,
24H,24.00,Control,0.132,0.354,,,
0min,0.00,LPS,1,1.083,,,
10min,0.17,LPS,1.555,1.436,,,
20min,0.33,LPS,1.753,1.521,,,
30min,0.50,LPS,1.044,2.041,,,
1H,1.00,LPS,4.179,,,,
2H,2.00,LPS,19.125,1.514,,,
3H,3.00,LPS,37.098,5.575,,,
4H,4.00,LPS,30.051,13.023,,,
6H,6.00,LPS,27.828,11.403,,,
8H,8.00,LPS,18.451,7.943,,,
12H,12.00,LPS,5.580,3.051,,,
24H,24.00,LPS,0.598,1.719,,,
0min,0.00,CUR+LPS,1.258,0.922,949.432,938.973,925.445039
10min,0.17,CUR+LPS,0.928,0.622,42.905,44.293,44.91204295
20min,0.33,CUR+LPS,1.242,0.530,20.087,19.718,19.65886358
30min,0.50,CUR+LPS,1.435,1.402,15.587,14.011,14.17069798
1H,1.00,CUR+LPS,1.727,,6.239296291,6.260336621,6.734310614
2H,2.00,CUR+LPS,12.411,0.518,6.534,6.275,6.414172388
3H,3.00,CUR+LPS,19.547,1.684,4.541,5.301,4.892091698
4H,4.00,CUR+LPS,5.960,0.615,3.355,3.059,
6H,6.00,CUR+LPS,2.369,0.592,2.650,2.282,
8H,8.00,CUR+LPS,3.943,0.863,2.466,2.419,
12H,12.00,CUR+LPS,1.333,1.195,2.689,2.508,
24H,24.00,CUR+LPS,0.492,1.080,2.471,2.474,
