Row,Column,H24R1,H24R2,Treatment
A,1,0.268099993,0.274699986,None
B,1,0.492599994,0.500199974,MTS
C,1,0.475699991,0.488599986,MTS
D,1,0.48969999,0.497500002,MTS
E,1,0.496199995,0.501299977,MTS
F,1,0.502099991,0.511500001,MTS
G,1,0.5,0.508000016,MTS
H,1,0.231600001,0.235599995,None
A,2,0.515699983,0.523199975,MTS
B,2,0.639500022,0.652100027,0
C,2,0.567700028,0.579100013,0
D,2,0.642700016,0.654200017,0
E,2,0.600700021,0.611100018,0
F,2,0.547299981,0.556999981,0
G,2,0.613300025,0.620199978,0
H,2,0.503499985,0.510999978,MTS
A,3,0.506299973,0.513300002,MTS
B,3,0.667599976,0.677200019,1
C,3,0.573300004,0.582000017,1
D,3,0.58069998,0.58829999,1
E,3,0.567700028,0.578700006,1
F,3,0.63349998,0.642499983,1
G,3,0.698800027,0.708700001,1
H,3,0.529200017,0.538600028,MTS
A,4,0.868499994,0.951699972,MTS
B,4,0.65079999,0.658999979,2
C,4,0.847100019,0.858699977,2
D,4,0.643100023,0.651799977,2
E,4,0.647700012,0.655499995,2
F,4,0.641600013,0.650200009,2
G,4,0.593699992,0.601800025,2
H,4,0.507600009,0.517099977,MTS
A,5,0.454600006,0.472900003,MTS
B,5,1.004400015,1.010900021,3
C,5,0.965300024,0.970399976,3
D,5,0.968500018,0.977400005,3
E,5,0.968800008,0.974399984,3
F,5,0.998700023,1.003299952,3
G,5,0.975700021,0.980300009,3
H,5,0.497399986,0.503199995,MTS
A,6,0.938600004,0.969500005,MTS
B,6,1.216799974,1.215999961,4
C,6,1.247699976,1.248700023,4
D,6,1.340800047,1.336199999,4
E,6,1.430600047,1.430099964,4
F,6,1.386899948,1.39349997,4
G,6,1.32159996,1.321200013,4
H,6,0.494500011,0.503499985,MTS
A,7,0.847000003,0.902199984,MTS
B,7,1.302000046,1.301900029,5
C,7,1.530799985,1.524799943,5
D,7,1.261999965,1.260100007,5
E,7,1.403399944,1.39260006,5
F,7,1.449100018,1.445500016,5
G,7,1.532600045,1.527199984,5
H,7,0.523400009,0.533399999,MTS
A,8,1.010699987,0.739000022,MTS
B,8,1.506999969,1.500499964,6
C,8,1.59679997,1.589900017,6
D,8,1.472499967,1.469400048,6
E,8,1.524500012,1.522600055,6
F,8,1.680400014,1.675899982,6
G,8,1.573199987,1.568799973,6
H,8,0.518899977,0.528199971,MTS
A,9,1.077100039,0.939300001,MTS
B,9,1.467700005,1.45480001,7
C,9,1.527899981,1.521199942,7
D,9,1.50059998,1.496999979,7
E,9,1.563799977,1.560700059,7
F,9,1.429700017,1.423300028,7
G,9,1.555600047,1.546300054,7
H,9,0.516600013,0.524100006,MTS
A,10,0.205300003,0.209900007,None
B,10,1.511999965,1.497699976,8
C,10,1.478199959,1.466899991,8
D,10,1.511399984,1.503399968,8
E,10,1.496999979,1.487400055,8
F,10,1.335399985,1.328199983,8
G,10,1.452100039,1.440299988,8
H,10,0.230800003,0.236200005,None
A,11,0.435000002,0.455000013,None
B,11,1.38499999,1.375200033,DMSO
C,11,1.561499953,1.580800056,DMSO
D,11,1.361500025,1.351300001,DMSO
E,11,1.468000054,1.458099961,DMSO
F,11,1.355900049,1.347200036,DMSO
G,11,1.361299992,1.353899956,DMSO
H,11,0.263799995,0.268900007,None
A,12,0.160899997,0.164000005,None
B,12,0.449900001,0.42750001,MTS
C,12,0.426999986,0.43689999,MTS
D,12,0.426699996,0.434300005,MTS
E,12,0.448300004,0.457899988,MTS
F,12,0.389600009,0.396699995,MTS
G,12,0.420399994,0.49939999,MTS
H,12,0.185900003,0.190599993,None
